647|despair|絶望|142||0|0|0
648|desperate|必死の|229||0|0|0
649|despise|…を軽蔑する|366||0|0|0
650|despite|…にもかかわらず|414||0|0|0
651|destiny|運命|209||0|0|0
652|destroy|…を破壊する|217||0|0|0
653|destruction|破壊|220||0|0|0
654|detail|詳細|346||0|0|0
655|detective|探偵，刑事|59||0|0|0
656|determine|…を決定する|209||0|0|0
657|determined|決意した|414||0|0|0
658|detest|…をひどく嫌う|152||0|0|0
659|devastate|…を徹底的に破壊する|43||0|0|0
660|develop|…を発達させる|153||0|0|0
661|developed|発達した|158||0|0|0
662|developing|発展途上の|162||0|0|0
663|development|開発|203||0|0|0
664|device|装置|160||0|0|0
665|devil|悪魔|183||0|0|0
666|devise|…を考案する|379||0|0|0
667|devote|…を捧げる|191||0|0|0
668|devout|信仰心の厚い|75||0|0|0
669|diagram|図形|106||0|0|0
670|dialect|方言|229||0|0|0
671|diaper|おむつ|102||0|0|0
672|dictator|独裁者|152||0|0|0
673|Diet (the ～ )|国会|221||0|0|0
674|differ|異なる|253||0|0|0
675|difference|違い|261||0|0|0
676|diligent|勤勉な|197||0|0|0
677|diligently|勤勉に|244||0|0|0
678|diplomat|外交官|355||0|0|0
679|direction|方向|105||0|0|0
680|director|映画監督|207||0|0|0
681|disability|身体的障害|9||0|0|0
682|disabled|体の不自由な|162||0|0|0
683|disappear|消える|22||0|0|0
684|disappointed|落胆した|193||0|0|0
685|disaster|災害|379||0|0|0
686|discipline|しつけ|311||0|0|0
687|discouragement|落胆|297||0|0|0
688|discover|…を発見する|86||0|0|0
689|discriminate|差別する|353||0|0|0
690|discuss|…を議論する|110||0|0|0
691|disease|病気|217||0|0|0
692|disgusting|嫌悪感を与える|353||0|0|0
693|dishonest|不誠実な|42||0|0|0
694|dislike|…を嫌悪する|255||0|0|0
695|dismal|憂鬱な|17||0|0|0
696|dismay|ショック|151||0|0|0
697|dismiss|…を解雇する|123||0|0|0
698|disposal|処分|104||0|0|0
699|disposition|性格|176||0|0|0
700|dispute|争い|347||0|0|0
